route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L,B20130803WKD,B20130803WKD_075100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_079700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_075700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_080300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_076300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_080900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_076900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_081500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_077500_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_082100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_078100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_082700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_078700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_083250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_079300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_083750_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_079800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_084250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_080450_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_084700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_080800_L..N01R,8 AV,0,,L..N01R
