trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20130803WKD_107250_L..N01R,18:30:00,18:30:00,L01N,24,,0,0
B20130803WKD_107750_L..N01R,18:34:00,18:34:00,L01N,24,,0,0
B20130803WKD_108150_L..N01R,18:38:00,18:38:00,L01N,24,,0,0
B20130803WKD_108550_L..N01R,18:42:00,18:42:00,L01N,24,,0,0
B20130803WKD_108950_L..N01R,18:46:00,18:46:00,L01N,24,,0,0
B20130803WKD_109350_L..N01R,18:50:00,18:50:00,L01N,24,,0,0
B20130803WKD_109750_L..N01R,18:54:00,18:54:00,L01N,24,,0,0
B20130803WKD_110150_L..N01R,18:58:00,18:58:00,L01N,24,,0,0
B20130803WKD_110550_L..N01R,19:02:00,19:02:00,L01N,24,,0,0
B20130803WKD_110950_L..N01R,19:06:00,19:06:00,L01N,24,,0,0
B20130803WKD_111350_L..N01R,19:10:00,19:10:00,L01N,24,,0,0
B20130803WKD_111750_L..N01R,19:14:00,19:14:00,L01N,24,,0,0
B20130803WKD_112250_L..N01R,19:19:00,19:19:00,L01N,24,,0,0
B20130803WKD_112750_L..N01R,19:24:00,19:24:00,L01N,24,,0,0
B20130803WKD_113250_L..N01R,19:29:00,19:29:00,L01N,24,,0,0
B20130803WKD_113750_L..N01R,19:34:00,19:34:00,L01N,24,,0,0
B20130803WKD_114250_L..N01R,19:39:00,19:39:00,L01N,24,,0,0
B20130803WKD_114750_L..N01R,19:44:00,19:44:00,L01N,24,,0,0
B20130803WKD_115250_L..N01R,19:49:00,19:49:00,L01N,24,,0,0
B20130803WKD_115750_L..N01R,19:54:00,19:54:00,L01N,24,,0,0
B20130803WKD_116250_L..N01R,19:59:00,19:59:00,L01N,24,,0,0
B20130803WKD_116750_L..N01R,20:04:00,20:04:00,L01N,24,,0,0
B20130803WKD_117250_L..N01R,20:09:00,20:09:00,L01N,24,,0,0
B20130803WKD_117750_L..N01R,20:14:00,20:14:00,L01N,24,,0,0
B20130803WKD_118250_L..N01R,20:19:00,20:19:00,L01N,24,,0,0
B20130803WKD_118750_L..N01R,20:24:00,20:24:00,L01N,24,,0,0
B20130803WKD_119250_L..N01R,20:29:00,20:29:00,L01N,24,,0,0
B20130803WKD_119750_L..N01R,20:34:00,20:34:00,L01N,24,,0,0
B20130803WKD_120250_L..N01R,20:39:00,20:39:00,L01N,24,,0,0
B20130803WKD_120750_L..N01R,20:44:00,20:44:00,L01N,24,,0,0
B20130803WKD_121250_L..N01R,20:49:00,20:49:00,L01N,24,,0,0
B20130803WKD_121750_L..N01R,20:54:00,20:54:00,L01N,24,,0,0
B20130803WKD_122250_L..N01R,20:59:00,20:59:00,L01N,24,,0,0
B20130803WKD_122750_L..N01R,21:04:00,21:04:00,L01N,24,,0,0
B20130803WKD_123250_L..N01R,21:09:00,21:09:00,L01N,24,,0,0
B20130803WKD_123750_L..N01R,21:14:00,21:14:00,L01N,24,,0,0
B20130803WKD_124250_L..N01R,21:19:00,21:19:00,L01N,24,,0,0
B20130803WKD_124750_L..N01R,21:24:00,21:24:00,L01N,24,,0,0
B20130803WKD_125250_L..N01R,21:29:00,21:29:00,L01N,24,,0,0
B20130803WKD_125750_L..N01R,21:34:00,21:34:00,L01N,24,,0,0
B20130803WKD_126250_L..N01R,21:39:00,21:39:00,L01N,24,,0,0
B20130803WKD_126750_L..N01R,21:44:00,21:44:00,L01N,24,,0,0
B20130803WKD_127250_L..N01R,21:49:00,21:49:00,L01N,24,,0,0
B20130803WKD_127750_L..N01R,21:54:00,21:54:00,L01N,24,,0,0
B20130803WKD_128250_L..N01R,21:59:00,21:59:00,L01N,24,,0,0
B20130803WKD_128750_L..N01R,22:04:00,22:04:00,L01N,24,,0,0
B20130803WKD_129250_L..N01R,22:09:00,22:09:00,L01N,24,,0,0
B20130803WKD_129750_L..N01R,22:14:00,22:14:00,L01N,24,,0,0
B20130803WKD_130300_L..N01R,22:19:30,22:19:30,L01N,24,,0,0
B20130803WKD_130950_L..N01R,22:25:30,22:25:30,L01N,24,,0,0
B20130803WKD_131650_L..N01R,22:32:30,22:32:30,L01N,24,,0,0
B20130803WKD_132450_L..N01R,22:40:00,22:40:00,L01N,24,,0,0
B20130803WKD_133250_L..N01R,22:48:00,22:48:00,L01N,24,,0,0
B20130803WKD_134250_L..N01R,22:58:00,22:58:00,L01N,24,,0,0
B20130803WKD_135250_L..N01R,23:11:00,23:11:00,L01N,24,,0,0
B20130803WKD_136250_L..N01R,23:22:00,23:22:00,L01N,24,,0,0
B20130803WKD_137250_L..N01R,23:33:00,23:33:00,L01N,24,,0,0
B20130803WKD_138250_L..N01R,23:43:00,23:43:00,L01N,24,,0,0
B20130803WKD_139300_L..N01R,23:53:00,23:53:00,L01N,24,,0,0
B20130803WKD_140300_L..N01R,24:03:00,24:03:00,L01N,24,,0,0
B20130803WKD_141300_L..N01R,24:13:00,24:13:00,L01N,24,,0,0
B20130803WKD_142300_L..N01R,24:23:00,24:23:00,L01N,24,,0,0
B20130803WKD_143500_L..N01R,24:35:00,24:35:00,L01N,24,,0,0
